"","category","contrast","MAG","log2FoldChange","padj","baseMean","significant"
"187","time","pre-fermentation_v_post-fermentation","MAG187",-5.6494166866961,2.81714604768278e-05,180.033926854098,TRUE
"188","time","pre-fermentation_v_post-fermentation","MAG188",-2.08152691106626,0.232695547680425,85.3555629936221,FALSE
"189","time","pre-fermentation_v_post-fermentation","MAG189",-5.24250321570536,0.000219862794085723,512.433752667528,TRUE
"190","time","pre-fermentation_v_post-fermentation","MAG190",-3.40857493197081,0.000301635934473398,77.4574191089831,TRUE
"191","time","pre-fermentation_v_post-fermentation","MAG191",-1.38263021387278,0.000392186282282234,573.634330111681,TRUE
"192","time","pre-fermentation_v_post-fermentation","MAG192",0.689118595274047,0.34236427799561,367.029615737717,FALSE
"193","time","pre-fermentation_v_post-fermentation","MAG193",0.956490553622878,0.00605601727817552,225.679388178283,FALSE
"194","time","pre-fermentation_v_post-fermentation","MAG194",3.09698365693795,2.22943365147886e-10,1707.19779327326,TRUE
"195","time","pre-fermentation_v_post-fermentation","MAG195",-1.94556098944519,7.57490537920464e-10,664.213601713402,TRUE
"196","time","pre-fermentation_v_post-fermentation","MAG196",-4.21194976124452,4.51202969434762e-30,823.174580796048,TRUE
"197","time","pre-fermentation_v_post-fermentation","MAG197",-1.82275518043183,0.00025817881738779,122.301053711055,TRUE
"198","time","pre-fermentation_v_post-fermentation","MAG198",0.379942144198069,0.822166519937701,406.323719678006,FALSE
"199","time","pre-fermentation_v_post-fermentation","MAG199",-6.38392746433063,1.7397027410909e-14,355.452755402265,TRUE
"200","time","pre-fermentation_v_post-fermentation","MAG200",-1.42686253436252,0.156246853229105,76.6642515506899,FALSE
"201","time","pre-fermentation_v_post-fermentation","MAG201",-3.08610435620326,0.00209227781207544,36.6294706961196,FALSE
"202","time","pre-fermentation_v_post-fermentation","MAG202",2.72891890995514,1.26894569972517e-07,2654.42036927982,TRUE
"203","time","pre-fermentation_v_post-fermentation","MAG203",-4.0298214512081,0.128178881004297,19.460180337723,FALSE
"204","time","pre-fermentation_v_post-fermentation","MAG204",1.26707007620842,0.000875750554357955,780.258265670822,TRUE
"205","time","pre-fermentation_v_post-fermentation","MAG205",-2.71557040343095,0.260256027097529,36.3166944572665,FALSE
"206","time","pre-fermentation_v_post-fermentation","MAG206",-1.8467017268547,1.38427970360416e-08,311.729141979521,TRUE
"207","time","pre-fermentation_v_post-fermentation","MAG207",-2.83878656415667,0.244969881000291,47.7425286389686,FALSE
"208","time","pre-fermentation_v_post-fermentation","MAG208",-1.2805379643232,0.62026590470809,10.6921695090417,FALSE
"209","time","pre-fermentation_v_post-fermentation","MAG209",-0.669357546395849,0.482868480051195,108.194605904944,FALSE
"210","time","pre-fermentation_v_post-fermentation","MAG210",2.18015289305893,7.67271975936269e-06,422.736444184975,TRUE
"211","time","pre-fermentation_v_post-fermentation","MAG211",2.49690072364588,0.0905782935415735,58.4776268824848,FALSE
"212","time","pre-fermentation_v_post-fermentation","MAG212",-3.23904696796712,0.00604238190533379,21.8052000013381,FALSE
"213","time","pre-fermentation_v_post-fermentation","MAG213",-0.552871123077464,0.324809799472018,63.2397374355071,FALSE
"214","time","pre-fermentation_v_post-fermentation","MAG214",0.418734661576495,0.475947389493309,194.902029354276,FALSE
"215","time","pre-fermentation_v_post-fermentation","MAG215",-0.853894133906726,0.157704519103754,128.581583202859,FALSE
"216","time","pre-fermentation_v_post-fermentation","MAG216",2.18244810490207,5.14950489371421e-08,812.338479646917,TRUE
"217","time","pre-fermentation_v_post-fermentation","MAG217",0.152952194564316,0.939774516710985,46.2123739941406,FALSE
"218","time","pre-fermentation_v_post-fermentation","MAG218",1.89505379645524,0.0749679732501861,387.953365751457,FALSE
"219","time","pre-fermentation_v_post-fermentation","MAG219",0.958568969790877,0.0126668991074359,181.490559236521,FALSE
"220","time","pre-fermentation_v_post-fermentation","MAG220",-1.43575102155031,0.00226083035356197,75.3064661652293,TRUE
"221","time","pre-fermentation_v_post-fermentation","MAG221",-0.932796682482987,0.36191805731863,43.848750048747,FALSE
"222","time","pre-fermentation_v_post-fermentation","MAG222",-2.17202287199794,0.00932982968182945,41.7724519545311,FALSE
"223","time","pre-fermentation_v_post-fermentation","MAG223",-2.33108589060908,0.00189793489060846,153.480497374147,TRUE
"224","time","pre-fermentation_v_post-fermentation","MAG224",-4.07286814552712,7.84840990475016e-08,884.400733265978,TRUE
"225","time","pre-fermentation_v_post-fermentation","MAG225",-6.63093227807275,1.49795087400155e-08,96.3179914069804,TRUE
"226","time","pre-fermentation_v_post-fermentation","MAG226",-2.57891278790566,0.0321187375356047,81.3532232072692,TRUE
"227","time","pre-fermentation_v_post-fermentation","MAG227",-0.645150612002099,0.497908102623958,133.011248540571,FALSE
"228","time","pre-fermentation_v_post-fermentation","MAG228",-1.91479017303966,2.62461830329667e-09,110.008811083866,TRUE
"229","time","pre-fermentation_v_post-fermentation","MAG229",4.41473632802625,1.9344321891442e-07,238.989938555979,TRUE
"230","time","pre-fermentation_v_post-fermentation","MAG230",-1.62075537399231,0.00932982968182945,566.034209117718,TRUE
"231","time","pre-fermentation_v_post-fermentation","MAG231",1.64638697245562,0.00430153721725907,162.441146897117,TRUE
"232","time","pre-fermentation_v_post-fermentation","MAG232",-0.217328840862672,0.763313859740522,34.5597873488302,FALSE
"233","time","pre-fermentation_v_post-fermentation","MAG233",-1.36048709266029,0.55654095103622,331.739549518901,FALSE
"234","time","pre-fermentation_v_post-fermentation","MAG234",4.25278427735963,4.5272750931114e-07,3318.2982849503,TRUE
"235","time","pre-fermentation_v_post-fermentation","MAG235",-4.11852209765127,5.4889317376521e-06,250.878707634681,TRUE
"236","time","pre-fermentation_v_post-fermentation","MAG236",-3.53268850899642,0.0289460983084249,39.58498345473,FALSE
"237","time","pre-fermentation_v_post-fermentation","MAG237",0.520134068124483,0.475947389493309,2103.90135828773,FALSE
"238","time","pre-fermentation_v_post-fermentation","MAG238",3.02501875734198,1.07420048069852e-10,299.905344042587,TRUE
"239","time","pre-fermentation_v_post-fermentation","MAG239",0.56691812437484,0.311361884660329,291.989804810843,FALSE
"240","time","pre-fermentation_v_post-fermentation","MAG240",-4.21472762287205,1.20917577155451e-16,439.30577702742,TRUE
"241","time","pre-fermentation_v_post-fermentation","MAG241",-5.83972975780193,1.67395289947329e-14,210.674965300482,TRUE
