"","J001-0h","J001-ctrl","J001-acggm","J011-0h","J011-ctrl","J011-acggm","J014-0h","J014-ctrl","J014-acggm","J016-0h","J016-ctrl","J016-acggm","J018-0h","J018-ctrl","J018-acggm","J020-0h","J020-ctrl","J020-acggm","J021-0h","J021-ctrl","J021-acggm","J022-0h","J022-ctrl","J022-acggm"
"MAG109",0,0,0,0.0074240738,0.003756319,0.002046845,0.01530738,0.012211376,0.0035241873,0.0019579413,0,0,0.068190694,0.03245832,0.012692602,0.011990169,0.0056874193,0.0030159699,0.011417497,0.0019047569,0.0010002344,0.026983527,0.006940532,0.0033676224
"MAG110",0.02075998,0.0013075024,0.0039948393,0.14449573,0.003122146,0.019206652,0.6185747,0.0043084132,0.023424268,0.09749294,0.0039767222,0.014585048,2.4782062,0.036279827,0.13357428,0.06502668,0.005511747,0.008965475,0.27130955,0.017607532,0.036610797,0.58960015,0.0061128614,0.017327596
"MAG111",0.016825931,0.0014708795,0.002208351,0.010432226,0.005385966,0.009918335,0.011133459,0.012405866,0.006987627,0.011342163,0.002868507,0.00592605,0.010834136,0.058151778,0.011080053,0.015874492,0.009560342,0.008745411,0.011365604,0.006721403,0.005259897,0.011070728,0.007407188,0.0032035436
"MAG112",0.022065692,0,0.0008005433,0.007650548,0,0,0.0040029837,0,0,0.015151444,0,0,0.0029997414,0,0,0.03964733,0.0020944923,0.0021160792,0.022713738,0.0010536605,0.00066887995,0.0048947874,0,0
"MAG113",0,0,0,0,0,0,0,0,0,0.0037480725,0.0009166821,0,0,0,0,0.045684673,0.0053956015,0.004802678,0.007955199,0.0014102713,0.0010305342,0,0,0
"MAG114",0.019037696,0.0006419338,0,0.018108822,0.003845303,0.0026376778,0.014203717,0.0037195394,0.0017685735,0.02187977,0.006742178,0.005494502,0.0074552693,0.0032800992,0.0016938815,0.033687957,0.010632174,0.008196395,0.0299006,0.006345749,0.0047896444,0.010947783,0.0031617396,0.0019495017
"MAG115",0.017010594,0,0.0019453656,0.01805068,0.007887972,0.011514452,0.028507968,0.02548808,0.026335077,0.020088462,0.009044755,0.017597362,0.01685927,0.0218854,0.02358992,0.035145942,0.011621777,0.022744177,0.0242933,0.012319253,0.02102442,0.0030368734,0.0035462922,0.0023908229
"MAG116",0.0033591143,0,0,0,0,0,0,0,0,0.0021656554,0,0,0,0,0,0.102779806,0.0202297,0.020500816,0.010048454,0.001238178,0.00069330464,0,0,0
"MAG117",0.041247025,0,0,0.23964867,0.0016426197,0.0032559107,0.09638617,0.0021999301,0.0045246687,0.07470627,0,0.0011311182,0.032427642,0.00080823206,0.0014692078,0.09351496,0.0014023572,0.0022123426,0.051876567,0,0,0.01719277,0,0
"MAG118",0.04936848,0.0033285392,0.0022873646,0.05733457,0.006753622,0.0040434976,0.080980934,0.027907418,0.010349836,0.041418772,0.011223676,0.004700035,0.062381566,0.026636817,0.0048753866,0.061664827,0.011691493,0.005205436,0.051420595,0.015386178,0.0048324275,0.05568452,0.0065874844,0.0016089604
"MAG119",0.0012293084,0,0,0.014127887,0.0012967743,0.0010490111,0,0,0,0.004808862,0,0,0.01990534,0.005144766,0.0031115029,0.06064415,0.008613107,0.0057884566,0.0007016449,0,0,0.001797512,0,0
"MAG120",0.028453587,0.0033189459,0.002396586,0.016062498,0.0015113767,0,0.006168939,0.0015581918,0,0.008484719,0.0012401253,0.0011813459,0.028525557,0.0030172342,0.002002209,0.10534578,0.019272348,0.015615783,0.009578966,0.0013035517,0.0013965539,0.033811413,0.0028957075,0.0017309126
"MAG121",0.01277635,0.004415149,0.0039009985,0.0067766136,0.0017857908,0.0015102884,0.009870006,0.0031347445,0.0022039718,0.01439189,0.004306626,0.0038881395,0.009146583,0.0025764888,0.0016442182,0.05082045,0.025850672,0.019697819,0.0047027185,0.0010671201,0.00075695507,0.0033970715,0.0008900079,0
"MAG122",0.77476346,0.006230228,0.032770727,1.1617224,0.015628159,0.2054978,1.4285814,0.08172286,1.2638738,0.9744954,0.0077149295,0.21551213,1.3875777,0.033827037,0.6228744,0.7680061,0.037880864,0.33049604,0.50012034,0.005222527,0.015416464,1.623034,0.015023619,0.060138695
"MAG123",0.0015462316,0,0,0,0,0,0,0,0,0.05307798,0.009543559,0.009912415,0,0,0,0.1911095,0.060756207,0.038284313,0.102290265,0.013276613,0.0093618985,0,0,0
"MAG124",0.060363647,0.027724791,0.03164705,0.14561518,0.08564825,0.028992984,0.07655172,0.067015335,0.020735767,0.088490404,0.08071369,0.059269823,0.06256964,0.063746646,0.030541392,0.073318586,0.11724768,0.06434978,0.027797056,0.026568202,0.020622525,0.051629018,0.032266114,0.010658508
"MAG125",0.0041404255,0,0,0,0,0,0.00086428726,0,0,0.0021371918,0,0,0,0,0,0.0036337336,0.0018200304,0.001209198,0.036880303,0.0073218485,0.0049057375,0,0,0
"MAG126",0.03115397,0.004560188,0.0041538132,0.016928881,0.0028993522,0.0024354344,0.020968871,0.012528836,0.00702403,0.059654966,0.011713302,0.0125605855,0.016931111,0.0057549,0.0026231378,0.102084756,0.025918515,0.019792857,0.06711901,0.019790761,0.012384113,0.057070892,0.019254355,0.009367989
"MAG127",0.0017418505,0,0,0.0023774854,0.0015917072,0.0010470768,0.009292561,0.0060773822,0.0027519467,0.0052869976,0.0031643133,0.001997755,0.109021224,0.054776683,0.036230166,0.028417232,0.010726243,0.009615592,0.13842563,0.020693634,0.01405412,0.0027334495,0.002095245,0.0010130098
"MAG128",0.031491574,0,0,0.028171705,0.0009721334,0.0019298022,0.013284579,0.0012139358,0.00246784,0.014561302,0,0,0.013552335,0.00069744297,0.00248526,0.009232036,0,0,0.06850271,0,0.000672508,0.00805915,0,0
